sample,day,label,B1_S11_bw_3db_B1,B1_S11_depth_B1,B1_S11_f_min_B1,B1_S11_mag_mean_B1,B1_S11_mag_min_B1,B1_S11_mag_range_B1,B1_S11_mag_std_B1,B1_S11_phase_range_B1,B1_S11_phase_std_B1,B1_S12_bw_3db_B1,B1_S12_depth_B1,B1_S12_f_min_B1,B1_S12_mag_mean_B1,B1_S12_mag_min_B1,B1_S12_mag_range_B1,B1_S12_mag_std_B1,B1_S12_phase_range_B1,B1_S12_phase_std_B1,B1_S21_bw_3db_B1,B1_S21_depth_B1,B1_S21_f_min_B1,B1_S21_mag_mean_B1,B1_S21_mag_min_B1,B1_S21_mag_range_B1,B1_S21_mag_std_B1,B1_S21_phase_range_B1,B1_S21_phase_std_B1,B1_S22_bw_3db_B1,B1_S22_depth_B1,B1_S22_f_min_B1,B1_S22_mag_mean_B1,B1_S22_mag_min_B1,B1_S22_mag_range_B1,B1_S22_mag_std_B1,B1_S22_phase_range_B1,B1_S22_phase_std_B1,B2_S11_bw_3db_B2,B2_S11_depth_B2,B2_S11_f_min_B2,B2_S11_mag_mean_B2,B2_S11_mag_min_B2,B2_S11_mag_range_B2,B2_S11_mag_std_B2,B2_S11_phase_range_B2,B2_S11_phase_std_B2,B2_S12_bw_3db_B2,B2_S12_depth_B2,B2_S12_f_min_B2,B2_S12_mag_mean_B2,B2_S12_mag_min_B2,B2_S12_mag_range_B2,B2_S12_mag_std_B2,B2_S12_phase_range_B2,B2_S12_phase_std_B2,B2_S21_bw_3db_B2,B2_S21_depth_B2,B2_S21_f_min_B2,B2_S21_mag_mean_B2,B2_S21_mag_min_B2,B2_S21_mag_range_B2,B2_S21_mag_std_B2,B2_S21_phase_range_B2,B2_S21_phase_std_B2,B2_S22_bw_3db_B2,B2_S22_depth_B2,B2_S22_f_min_B2,B2_S22_mag_mean_B2,B2_S22_mag_min_B2,B2_S22_mag_range_B2,B2_S22_mag_std_B2,B2_S22_phase_range_B2,B2_S22_phase_std_B2
A01,D02,verde,134062000.0,2.587769771246777,1555938000.0,0.09734291359744907,-2.486880325346646,5.058114318813708,1.1112711286732042,0.6595610371012097,0.1315658353610097,1100000000.0,0.5222513700613878,1518812000.0,-0.04626287590739548,-0.6040867957492119,1.2194087231164523,0.36985522189899106,0.1359085367631101,0.042506608104514156,1100000000.0,0.5218822245492205,1526375000.0,-0.05079289057886782,-0.6058508340308405,1.2254199236774097,0.3709820662418378,0.13627028989040563,0.04279983654840152,85938000.0,3.8569378477593674,1443188000.0,-0.07851326663009049,-4.014486933653409,11.030097877650572,1.599369733319904,1.1218808144387746,0.1885316474518825,1700000000.0,0.7642387264087014,2172938000.0,0.03086283225731626,-0.7570050088929516,1.6420390582793267,0.2622320036260782,0.12938051510012344,0.030552801867663987,1700000000.0,0.6587900180837722,2719062000.0,-0.5723510731885117,-1.2202035411519723,1.3638947957191145,0.3625645977089053,0.17391359384921473,0.04991134804509782,1700000000.0,0.6607420880937749,2698875000.0,-0.5837056535686794,-1.233308044114592,1.368435346529299,0.3640618720608414,0.17565952204832425,0.05021888729989035,1414188000.0,1.5400098557616773,2162312000.0,0.06943187021353449,-1.4815671617853077,3.687331467972391,0.4640590237782353,0.39561685668616914,0.05886922320154155
A01,D03,maduro,151938000.0,2.2945500052260366,1559375000.0,0.10006300462565061,-2.187258299739858,4.993007102005196,1.0902003596780376,0.6307238891326763,0.12963933888544113,1100000000.0,0.9543300040878563,1747750000.0,-0.04095726871741393,-0.8074349674482028,1.389754712302142,0.40934000709767016,0.1592136635125521,0.0543926389269445,1100000000.0,0.9594135054777626,1743625000.0,-0.04176355311957767,-0.81486985118381,1.400795188811728,0.40935717712716924,0.15943281636891743,0.054332897037717535,132000000.0,2.3382605958094227,1455562000.0,-0.030126165965691953,-2.2912118779033617,6.688925566730235,0.9937001094450828,0.7310462217368141,0.11631580892056605,1700000000.0,0.9128882865380791,2170812000.0,0.030906959509827674,-0.886563880746259,1.9162683263227653,0.2760916249344709,0.15612426780511224,0.03194080837546166,1700000000.0,0.6193854692872524,3450062000.0,-0.5810102126960895,-1.1944705152130688,1.1101015649233332,0.2635314810433209,0.21568921783885006,0.052505201124384775,1700000000.0,0.6154872529344926,3451125000.0,-0.5818612952411575,-1.1936834549154325,1.110006837692751,0.2634355249942278,0.215051455338596,0.05239319432187634,1700000000.0,0.502359675187048,2178250000.0,0.0360322285073264,-0.5337217527674016,1.8285490374400841,0.2770491311919022,0.2143852451044828,0.0307983639327013
A01,D04,maduro,149188000.0,2.32702133573632,1560062000.0,0.08043393278846778,-2.2414221188251915,4.945573627885906,1.092714315971224,0.638096461192966,0.1300438885775613,1100000000.0,0.9689427326803061,1744312000.0,-0.04705759046325504,-0.8245924615525552,1.3909684651325005,0.40993635081440355,0.16059267948552503,0.05494950866324214,1100000000.0,0.9714239168329611,1740875000.0,-0.04556068534813745,-0.8272567581390224,1.399118101280048,0.40986624382092535,0.16129478231348648,0.054914211848366874,151937000.0,2.25089941686857,1456938000.0,-0.03872282739542613,-2.1971886869178823,6.7527692071806085,1.003304641374793,0.7289060388440448,0.11566249611784293,1700000000.0,0.86080163319337,2169750000.0,0.00732706659276166,-0.8593113517234265,1.7899474512429467,0.272645572717835,0.15186415877329607,0.03162607710479427,1700000000.0,0.5979987395432088,3451125000.0,-0.5901931285492475,-1.1875527994457302,1.082876312631036,0.2600001555980223,0.2150282175509851,0.05234481584972527,1700000000.0,0.5947694246036263,3451125000.0,-0.5871283993833964,-1.1804636562609443,1.0825440251860157,0.2594962933579488,0.21529789210939282,0.05232032615088733,1700000000.0,0.5149285915568799,2183562000.0,0.019212526735486762,-0.5505314212516474,1.7938367065053764,0.27162435650783195,0.20916781789088446,0.031144492258085195
A01,D05,maduro,143000000.0,2.4857015752166545,1558000000.0,0.06569954379037604,-2.4090028860722996,5.01704727216874,1.0893269351411525,0.6647731686559524,0.13197256257264217,1100000000.0,0.999359012426769,1741562000.0,-0.04693336885389512,-0.842735162259078,1.428940979751688,0.4119031992262065,0.16335875044670325,0.05536645745202718,1100000000.0,1.0070992436551893,1744312000.0,-0.04762645903791981,-0.8521828745736798,1.4455565194963473,0.4130554911610214,0.1652312194942328,0.055353471184908076,135437000.0,2.3810891305998654,1454188000.0,-0.0437943964804504,-2.338803085570501,6.88342867520204,0.9989922016101673,0.6857683407096503,0.11409221175265179,1700000000.0,0.8878895554315951,2170812000.0,-0.002423168945094243,-0.8917394914856019,1.7131972055298776,0.2699157116234664,0.1470658720895681,0.03141031875147055,1700000000.0,0.5675300016120687,3453250000.0,-0.5878155418611698,-1.1502818922773632,1.031094236501806,0.25365031191969584,0.21390953216041844,0.05204695770077363,1700000000.0,0.5686679197001824,3451125000.0,-0.5898775447354924,-1.1529654101800166,1.0367901336450773,0.2544517633215605,0.21321738306783583,0.052098060572049784,1700000000.0,0.5798776274897289,2169750000.0,0.008069072981517477,-0.6231174371521231,1.9897240855684806,0.27381189987858573,0.23428295208347308,0.0318330939355255
A01,D06,maduro,146437000.0,2.3976447491996513,1559375000.0,0.07416151151838174,-2.323052515561385,4.934226781806727,1.0872356743532958,0.6655787319183886,0.13187937310605027,1100000000.0,0.9958446699408118,1749125000.0,-0.038940895441046085,-0.8341703894990288,1.4285680418285938,0.41054366669319864,0.15967338960959954,0.05543004804986203,1100000000.0,1.0008930502544318,1744312000.0,-0.03899124270584903,-0.8395957712759345,1.4323183610745707,0.4105851867758289,0.1609094851901609,0.05544310096470163,144374000.0,2.3265084048539326,1453500000.0,-0.04430105397121917,-2.279726278767724,6.570556424235377,0.9884118687856761,0.6703540824223373,0.11373314484453856,1700000000.0,0.8565290404706198,2171875000.0,0.004850904232939835,-0.8583886627778745,1.751749411299324,0.26911777544951726,0.14500945450489244,0.03137292073845434,1700000000.0,0.5653784994689247,3454312000.0,-0.5772341672284795,-1.1409447803754225,1.0193476815872398,0.25153572772982336,0.21319454393568513,0.05184915759275368,1700000000.0,0.5645478731211517,3456438000.0,-0.5771873194352286,-1.1393755578355294,1.024804505615296,0.2516276943259566,0.21320806898244743,0.051869385687134215,1700000000.0,0.6391315302514133,2175062000.0,0.004029341443804159,-0.6874394576412847,2.0413649471969744,0.2749523365807571,0.2433235762985192,0.03209889757702749
A01,D07,pasado,148500000.0,2.3432762590091065,1560750000.0,0.08034317637762423,-2.254466319104249,4.876143187394928,1.087635187329409,0.661317065259527,0.13184108564365274,1100000000.0,1.0248401497236213,1750500000.0,-0.03264564534034899,-0.848152547868414,1.4503085642854656,0.41528568851370956,0.1603059103181902,0.055596866572645634,1100000000.0,1.02809728796993,1745000000.0,-0.03395818421366546,-0.853666282881761,1.4494970483900218,0.41546516782220505,0.1616886013084013,0.05562831016406196,149187000.0,2.2938654801573857,1453500000.0,-0.025062540313183425,-2.2383140144731635,6.834516457034621,0.9766900471954106,0.6857413717489574,0.11229658956910922,1700000000.0,0.8625671944366723,2172938000.0,0.008267727953809543,-0.8712107126541306,1.7680365911433957,0.2690530207850169,0.14059669463664598,0.031357946709603436,1700000000.0,0.595627635548881,3458562000.0,-0.5726275313051078,-1.1622089615902582,1.0536705444387602,0.24846138868773968,0.205702514369811,0.05145484530451225,1700000000.0,0.5880087046584576,3454312000.0,-0.5747178922755892,-1.1581925081652382,1.0513987014140016,0.24870811621488764,0.20576824178762032,0.05144977146101024,1700000000.0,0.49506547658586614,2182500000.0,0.01967015265834158,-0.5442341909580363,1.8750340212493728,0.27143150677652095,0.19789358761805798,0.030749157060089675
A01,D08,pasado,153312000.0,2.2089944600140083,1562125000.0,0.08141510481079543,-2.117172867097079,4.6918358010098915,1.0795985791022191,0.6462927378926622,0.1308048663180487,1100000000.0,1.0253195576911907,1739500000.0,-0.03525108759416906,-0.8524548695017078,1.457172138121332,0.4205212240619489,0.1626600030827709,0.05604217540104814,1100000000.0,1.033905775228615,1742250000.0,-0.036606600329437106,-0.8601656773775348,1.463576678174874,0.4207044364097469,0.1642156694200425,0.05606223157534941,159500000.0,2.1933112240376675,1446625000.0,-0.03569286992751523,-2.1460217063314806,6.7898440961168385,0.9637297855248695,0.6862260043461998,0.11054817217266392,1700000000.0,0.8359752168244461,2172938000.0,0.006458791328102391,-0.8503710929483073,1.768340414877756,0.2661533899314801,0.13989938487223982,0.031032680297369154,1700000000.0,0.6079756661435082,3460688000.0,-0.5767888728522053,-1.1827675641020505,1.0624278286618118,0.24288593594639166,0.2042556577368218,0.05166979527978453,1700000000.0,0.6027047776945017,3458562000.0,-0.5796951525586013,-1.1839846866731183,1.062823061369815,0.24342422526806795,0.2032033784188918,0.051586351432728356,1700000000.0,0.592440694549401,2183562000.0,-0.005173387753386469,-0.649311503608271,1.9448804552620924,0.2703797659160045,0.21880056863077452,0.031060142905803157
A02,D02,verde,122374000.0,2.9879789957788914,1553188000.0,0.10134929494192524,-2.880038348079181,5.569595046876689,1.1992782253219643,0.7000296928030014,0.1425102029994551,1100000000.0,0.5403425075191027,1518125000.0,-0.1621457410775413,-0.8206758287240833,1.5239283440541316,0.4923583952238451,0.14862886473406003,0.04283166295573866,1100000000.0,0.5330220049529399,1526375000.0,-0.16539468683999484,-0.8176108926075838,1.5236866310928951,0.4934618623417881,0.14879964285667602,0.043071838386607504,77688000.0,4.121826199407268,1441812000.0,-0.07652570710984301,-4.324354858442659,11.593580277423595,1.6602376865582174,1.1537557708624067,0.19558863853874778,1700000000.0,0.9573500901604309,2171875000.0,0.0358437414944798,-0.9213983860481059,1.9297199254337027,0.29824039472179037,0.17077709561303628,0.034250128491991674,1700000000.0,0.6703721074213637,3456438000.0,-0.7699143318537315,-1.415427620041254,1.3879874247156712,0.3622151681936035,0.18198962747415665,0.050933748093429654,1700000000.0,0.6786523441615024,3453250000.0,-0.7784756757226062,-1.429868610804458,1.4022354288360872,0.36357639977285466,0.18381530717988517,0.05123187484748826,1409938000.0,1.7543958161067086,2162312000.0,0.06519032879997187,-1.692252894465208,4.0844017781896,0.5087411168025093,0.4446914210266579,0.064192830339585
A02,D03,maduro,140250000.0,2.5770209319436708,1556625000.0,0.09661072977018847,-2.4690340642073485,5.37207943256767,1.1756518848616258,0.6666715187918936,0.14015187332518722,1100000000.0,1.0142380656338328,1743625000.0,-0.14982377146366946,-1.0407756487996815,1.6191082250943962,0.5200097647450568,0.17224795595074224,0.054704349254666086,1100000000.0,1.0217767469253873,1743625000.0,-0.1500819778878881,-1.0486331693747217,1.6324520657051131,0.5200783577508239,0.17328064134066,0.05465417750648189,138875000.0,2.454879019514017,1454188000.0,-0.0304725648069537,-2.3880605008979807,7.055581604021,1.048173196129164,0.7581679959974443,0.12291265136522204,1700000000.0,1.047712750102807,2169750000.0,0.027222654105019905,-1.0218302712754854,2.1184994588914696,0.30933364275148945,0.1960632052407494,0.03526679684288206,1700000000.0,0.6068596551637335,3450062000.0,-0.7751213641163607,-1.3864771821910091,1.1354848420034531,0.27133358855707895,0.2242917957903403,0.0532541712021681,1700000000.0,0.6046560256781811,3452188000.0,-0.7752705043708394,-1.3839865383369436,1.1320607290023643,0.2714538271580148,0.22465869816046266,0.05314891362546322,1700000000.0,0.6393277884809051,2176125000.0,0.027996731925519325,-0.6710152032240179,2.0884914552645473,0.3031096140592334,0.2502395479739685,0.03438712987571754
A02,D04,maduro,134750000.0,2.700576691694806,1556625000.0,0.0788304527404595,-2.6088613486616086,5.479963561616537,1.1910424814966913,0.6772200971473156,0.1420844402490805,1100000000.0,1.0395840209863163,1738125000.0,-0.1568586706635993,-1.0742424431047164,1.665779476121971,0.5268493151408119,0.17265703320853865,0.05542631118248504,1100000000.0,1.0412552376517499,1740875000.0,-0.1555589274056814,-1.0761705195013362,1.6769662872214477,0.5266191236369344,0.17376711045178272,0.05534753876095149,139562000.0,2.3813288877224723,1451438000.0,-0.03412962882263144,-2.3172120557083717,7.133032548709901,1.0593612346492216,0.7603094270798321,0.12346444723629224,1700000000.0,1.0404064130618709,2167625000.0,0.00450797123670133,-1.0312759490253678,2.073778616189827,0.3120376597625399,0.19825876288552047,0.035510537109716765,1700000000.0,0.6092552611434481,3454312000.0,-0.7923169343152229,-1.405087139673879,1.133394558092718,0.2717172616337259,0.22425205541257356,0.05269307032791428,1700000000.0,0.6003177617324846,3449000000.0,-0.7887215391095491,-1.3947878841190817,1.1285665012110813,0.27111435870945344,0.22399473213026064,0.05260744320582038,1700000000.0,0.630523736178163,2164438000.0,0.01863817019026869,-0.6770636586472266,2.044075160239134,0.3068212480215616,0.2312265551056678,0.03492180557632906
