delta_hr,rmssd_post,sdnn_post,gsr_change_pct,participant_id,label
0.16177551531982318,-0.013117512088501825,0.023388278983475175,0.03559681605911465,P001,1
-0.01845306977747896,-0.055586970382410075,-0.0238719602250967,0.02293968703270366,P001,0
-0.060475182213031074,-0.03748082204510865,-0.009977628166052455,0.01726820475932982,P001,0
-0.05911926231897269,-0.07637932508823723,-0.017381928536042323,-0.0052954571117879825,P001,0
0.022702862771984654,-0.04234511224549351,-0.029786843193778622,0.004860643564188649,P001,0
-0.0470969168607553,-0.04085351550120322,-0.01962067284648583,0.01598218194576475,P001,0
0.012180267922485655,-0.07682385585630983,-0.024324657161741925,0.008073544574745028,P001,0
0.08085278802518588,-0.00845262902603281,0.01971569376964908,-0.0015983340982529625,P001,1
-0.061980430187804816,-0.07531686829406681,-0.012941801096849304,0.009319553769819322,P001,0
0.008115713661027257,-0.02157465325517478,-0.011973384256543795,0.03221425765368622,P001,1
-0.07603402794838984,-0.07601364195479618,-0.026809914281602686,0.01965852334160445,P001,0
-0.08397391582602723,-0.04159757285451633,-0.010370303717900242,-0.03210603973329853,P001,0
0.022038749737976104,0.05189611057467118,-0.17712857553215144,-0.03636929883614357,P001,0
-0.04520769564405782,-0.024744217708939687,0.01844690967063798,-0.037796752189206015,P001,0
0.03180583536213817,0.003008035893253691,0.04632860542442359,-0.0197543636671071,P001,1
-0.030278730136205922,0.0724632160678084,-0.12366394274658887,-0.029095684682397406,P001,0
0.04531159072776063,-0.016641231347239226,-0.00082822910262621,-0.03592827146467244,P001,0
-0.021746578357897305,0.08945789469689772,-0.18032887223562283,-0.031995388316681785,P001,0
0.007446144058030768,0.045975798259814835,-0.11931790756225383,-0.02239048672854551,P001,0
-0.03446650673072327,0.08005100899663375,-0.1401407201839902,-0.012337671291970765,P001,0
0.04207009887395543,-0.04479022470604832,-0.0011079524711021804,-0.04790944164442408,P001,0
0.05583494182610593,-0.04218829685319179,0.00030545521913154515,-0.03243048159938553,P001,0
0.09127434514402921,-0.03598556911751984,0.005347866174724913,-0.018208248261453265,P001,1
0.1871489101649786,0.11668913417111071,-0.11732578561650371,0.02456085794910905,P001,1
-0.09999448346425197,-0.027982192201488943,0.015056465588850187,-0.030129946758461302,P003,0
0.08233930315209363,0.0350685527972928,0.19533582811018277,0.0385292307833879,P003,1
0.07334034930563575,-0.20477402717106089,0.03466279919166482,-0.019646150359403692,P003,0
-0.09319381359641739,-0.02233901729878198,0.029082418342250095,0.00785755736324063,P003,0
-0.07123018352285726,-0.1752932891965429,0.07772484729216558,-0.030851280101160228,P003,0
-0.09804396429881308,0.011610071870472893,0.020891329613732523,0.04793928867311479,P003,0
-0.04557762750891925,-0.1739656590682898,0.10125216672363421,-0.026754401780453917,P003,0
0.011674658950960292,0.018018510185811465,0.19575452814497113,0.07193147505613524,P003,1
