timestamp_muestra,sample_code,day_code,sample_label,peso_g,medida_1_alto_mm,medida_2_diametro_mm,percepcion_madurez,estado_madurez_batch
2026-03-29T11:34:22,A01,D06,A01_D06,195,83.68,65.13,maduro,maduro
2026-03-29T11:38:07,A02,D06,A02_D06,185,96.06,64.37,pasado,maduro
2026-03-29T11:41:27,A03,D06,A03_D06,207,97.69,65.69,maduro,maduro
2026-03-29T11:44:42,A04,D06,A04_D06,192,88.78,65.46,maduro,maduro
2026-03-29T11:48:06,A05,D06,A05_D06,201,90.04,64.97,maduro,maduro
2026-03-29T11:51:23,A06,D06,A06_D06,208,102.64,63.76,maduro,maduro
2026-03-29T11:54:44,A07,D06,A07_D06,196,82.5,66.59,maduro,maduro
2026-03-29T11:58:17,A08,D06,A08_D06,203,93.79,63.29,maduro,maduro
2026-03-29T12:01:33,A09,D06,A09_D06,228,93.33,65.72,maduro,maduro
2026-03-29T12:04:51,A10,D06,A10_D06,209,83.82,66.58,maduro,maduro
2026-03-29T12:08:28,A12,D06,A12_D06,168,81.99,62.23,maduro,maduro
2026-03-29T12:12:03,A13,D06,A13_D06,186,79.46,64.74,maduro,maduro
2026-03-29T12:15:54,A14,D06,A14_D06,192,85.01,66.64,maduro,maduro
2026-03-29T12:19:23,A15,D06,A15_D06,229,101.88,66.23,maduro,maduro
2026-03-29T12:23:06,A16,D06,A16_D06,199,89.09,66.26,pasado,maduro
2026-03-29T12:26:24,A17,D06,A17_D06,213,101.93,66.01,maduro,maduro
2026-03-29T12:31:10,A18,D06,A18_D06,198,90.42,63.2,maduro,maduro
2026-03-29T12:34:52,A19,D06,A19_D06,189,96.66,62.35,maduro,maduro
2026-03-29T12:38:28,A20,D06,A20_D06,195,81.81,66.32,maduro,maduro
2026-03-29T12:41:47,A21,D06,A21_D06,190,91.83,65.07,verde,maduro
2026-03-29T12:45:18,A22,D06,A22_D06,203,100.87,63.95,pasado,maduro
2026-03-29T12:48:31,A23,D06,A23_D06,196,87.34,65.03,maduro,maduro
2026-03-29T12:52:27,A24,D06,A24_D06,216,93.67,67.86,maduro,maduro
2026-03-29T12:55:47,A25,D06,A25_D06,207,99.68,65.9,maduro,maduro
2026-03-29T12:59:24,A26,D06,A26_D06,204,96.53,65.53,maduro,maduro
2026-03-29T13:02:39,A27,D06,A27_D06,218,98.39,66.12,maduro,maduro
2026-03-29T13:06:11,A28,D06,A28_D06,189,83.66,65.48,pasado,maduro
2026-03-29T13:09:52,A29,D06,A29_D06,248,95.79,71.14,maduro,maduro
2026-03-29T13:13:07,A30,D06,A30_D06,227,100.19,64.95,pasado,maduro
2026-03-29T13:18:14,A31,D06,A31_D06,207,94.98,66.4,maduro,maduro
2026-03-29T13:21:29,A32,D06,A32_D06,210,103.04,62.89,maduro,maduro
2026-03-29T13:24:46,A33,D06,A33_D06,208,93.37,67.4,maduro,maduro
2026-03-29T13:28:06,A34,D06,A34_D06,191,94.29,65.83,pasado,maduro
2026-03-29T13:31:22,A36,D06,A36_D06,188,99.42,61.1,maduro,maduro
2026-03-29T13:34:46,A38,D06,A38_D06,218,101.92,65.11,pasado,maduro
2026-03-29T13:38:01,A39,D06,A39_D06,210,93.15,66.61,maduro,maduro
2026-03-29T13:41:17,A40,D06,A40_D06,202,92.2,64.93,pasado,maduro
2026-03-29T13:44:42,A41,D06,A41_D06,207,108.11,63,maduro,maduro
2026-03-29T13:48:04,A42,D06,A42_D06,204,101.32,65.5,pasado,maduro
2026-03-29T13:51:16,A43,D06,A43_D06,189,97.23,61.6,pasado,maduro
2026-03-29T13:54:41,A44,D06,A44_D06,207,88.02,70.43,pasado,maduro
2026-03-29T13:58:04,A45,D06,A45_D06,199,102.98,62.55,maduro,maduro
2026-03-29T14:01:28,A46,D06,A46_D06,229,96.75,67.45,pasado,maduro
2026-03-29T14:04:48,A47,D06,A47_D06,209,98.69,63.31,pasado,maduro
2026-03-29T14:08:10,A48,D06,A48_D06,244,98.57,68.13,maduro,maduro
2026-03-29T14:11:36,A49,D06,A49_D06,192,97.12,62.58,pasado,maduro
