timestamp_muestra,sample_code,day_code,sample_label,peso_g,medida_1_alto_mm,medida_2_diametro_mm,percepcion_madurez,estado_madurez_batch
2026-03-27T08:17:49,A01,D04,A01_D04,199,81.44,65.75,maduro,maduro
2026-03-27T08:21:42,A02,D04,A02_D04,190,95.29,62.08,maduro,maduro
2026-03-27T08:25:14,A03,D04,A03_D04,211,99.12,65.15,maduro,maduro
2026-03-27T08:28:49,A04,D04,A04_D04,197,90.16,65.62,maduro,maduro
2026-03-27T08:32:37,A05,D04,A05_D04,207,90.45,67.39,maduro,maduro
2026-03-27T08:36:22,A06,D04,A06_D04,212,102.47,63.75,maduro,maduro
2026-03-27T08:39:59,A07,D04,A07_D04,200,83.46,66.73,maduro,maduro
2026-03-27T08:44:46,A08,D04,A08_D04,209,94.26,65.16,maduro,maduro
2026-03-27T08:58:56,A09,D04,A09_D04,233,95.03,68.3,maduro,maduro
2026-03-27T09:02:25,A10,D04,A10_D04,212,83.83,69.2,maduro,maduro
2026-03-27T09:07:10,A11,D04,A11_D04,206,96.42,63.91,maduro,maduro
2026-03-27T09:10:51,A12,D04,A12_D04,172,61.74,81.3,maduro,maduro
2026-03-27T09:14:32,A13,D04,A13_D04,189,77.72,65.56,maduro,maduro
2026-03-27T09:18:17,A14,D04,A14_D04,196,86.16,66.04,maduro,maduro
2026-03-27T09:21:43,A15,D04,A15_D04,237,103.47,67.29,maduro,maduro
2026-03-27T09:25:30,A16,D04,A16_D04,204,88.86,66.06,maduro,maduro
2026-03-27T09:29:35,A17,D04,A17_D04,219,102.05,66.78,maduro,maduro
2026-03-27T09:32:56,A18,D04,A18_D04,203,92.18,65.78,maduro,maduro
2026-03-27T09:36:14,A19,D04,A19_D04,194,98.2,65.09,maduro,maduro
2026-03-27T09:39:37,A20,D04,A20_D04,199,84.12,68.8,maduro,maduro
2026-03-27T09:43:07,A21,D04,A21_D04,196,93.59,63.81,verde,maduro
2026-03-27T11:25:39,A22,D04,A22_D04,208,101.77,62.87,maduro,maduro
2026-03-27T11:29:06,A23,D04,A23_D04,201,87.74,64.2,maduro,maduro
2026-03-27T15:25:16,A24,D04,A24_D04,220,94.14,69.13,maduro,maduro
2026-03-27T15:29:51,A25,D04,A25_D04,211,99.78,65.11,maduro,maduro
2026-03-27T15:40:26,A26,D04,A26_D04,210,96.31,64.15,maduro,maduro
2026-03-27T15:44:40,A27,D04,A27_D04,222,99.62,66.71,maduro,maduro
2026-03-27T15:48:25,A28,D04,A28_D04,192,85.93,65.33,maduro,maduro
2026-03-27T15:52:29,A29,D04,A29_D04,252,95.42,71.41,maduro,maduro
2026-03-27T15:56:05,A30,D04,A30_D04,230,100.17,65.79,maduro,maduro
2026-03-27T15:59:55,A31,D04,A31_D04,212,94.19,68.08,maduro,maduro
2026-03-27T16:05:33,A32,D04,A32_D04,216,102.42,64.41,maduro,maduro
2026-03-27T16:15:34,A33,D04,A33_D04,213,94.21,64.73,maduro,maduro
2026-03-27T16:19:13,A34,D04,A34_D04,197,94.19,65.1,maduro,maduro
2026-03-27T16:22:53,A35,D04,A35_D04,160,93.77,58.85,maduro,maduro
2026-03-27T16:26:12,A36,D04,A36_D04,192,100.49,62.04,maduro,maduro
2026-03-27T16:30:06,A38,D04,A38_D04,223,102.91,65.89,maduro,maduro
2026-03-27T16:34:02,A39,D04,A39_D04,214,92.53,67.42,maduro,maduro
2026-03-27T16:37:22,A40,D04,A40_D04,206,92.21,65.5,maduro,maduro
2026-03-27T16:41:26,A41,D04,A41_D04,210,107.81,63.36,maduro,maduro
2026-03-27T16:45:44,A42,D04,A42_D04,209,100.99,64.05,maduro,maduro
2026-03-27T16:50:23,A43,D04,A43_D04,193,98.33,62.82,maduro,maduro
2026-03-27T16:54:04,A44,D04,A44_D04,211,87.23,67.84,maduro,maduro
2026-03-27T16:57:58,A45,D04,A45_D04,205,103.58,62.92,maduro,maduro
2026-03-27T17:02:16,A46,D04,A46_D04,234,98.92,69.82,maduro,maduro
2026-03-27T17:06:07,A47,D04,A47_D04,216,99.29,64.46,maduro,maduro
2026-03-27T17:10:00,A48,D04,A48_D04,248,98.87,68.98,maduro,maduro
2026-03-27T17:13:35,A49,D04,A49_D04,198,98.5,65.49,maduro,maduro
