timestamp_muestra,sample_code,day_code,sample_label,peso_g,medida_1_alto_mm,medida_2_diametro_mm,percepcion_madurez,estado_madurez_batch
2026-03-26T13:08:37,A01,D03,A01_D03,201,84.83,65.57,maduro,maduro
2026-03-26T13:12:14,A02,D03,A02_D03,192,95.93,62.71,maduro,maduro
2026-03-26T13:15:58,A03,D03,A03_D03,214,99.16,65.86,maduro,maduro
2026-03-26T13:20:43,A04,D03,A04_D03,199,89.93,64.49,maduro,maduro
2026-03-26T13:25:38,A05,D03,A05_D03,210,89.75,68.63,maduro,maduro
2026-03-26T13:29:59,A06,D03,A06_D03,214,103.5,63.88,maduro,maduro
2026-03-26T13:35:13,A07,D03,A07_D03,202,84.61,69.04,verde,maduro
2026-03-26T13:39:40,A08,D03,A08_D03,212,94.78,64.63,maduro,maduro
2026-03-26T13:47:24,A09,D03,A09_D03,234,97.65,68.26,verde,maduro
2026-03-26T13:51:19,A10,D03,A10_D03,215,85.35,68.43,verde,maduro
2026-03-26T13:55:43,A11,D03,A11_D03,207,98.22,64.21,verde,maduro
2026-03-26T14:02:50,A12,D03,A12_D03,175,82.8,63.9,verde,maduro
2026-03-26T14:07:59,A13,D03,A13_D03,191,78.24,66.75,verde,maduro
2026-03-26T14:11:57,A14,D03,A14_D03,197,86.91,68.12,verde,maduro
2026-03-26T14:16:17,A15,D03,A15_D03,241,103.56,67.28,verde,maduro
2026-03-26T14:19:41,A16,D03,A16_D03,205,89.04,66.4,maduro,maduro
2026-03-26T14:23:44,A17,D03,A17_D03,221,102.41,64.2,maduro,maduro
2026-03-26T14:28:03,A18,D03,A18_D03,205,92.31,67.64,verde,maduro
2026-03-26T14:32:49,A19,D03,A19_D03,196,99.55,63.72,verde,maduro
2026-03-26T14:36:54,A20,D03,A20_D03,201,83.44,67.28,maduro,maduro
2026-03-26T14:40:51,A21,D03,A21_D03,200,83.44,67.28,verde,maduro
2026-03-26T14:45:57,A22,D03,A22_D03,211,102.59,65.97,maduro,maduro
2026-03-26T14:51:04,A23,D03,A23_D03,203,86.97,65.92,maduro,maduro
2026-03-26T14:55:58,A24,D03,A24_D03,223,94.6,68.51,maduro,maduro
2026-03-26T17:02:16,A25,D03,A25_D03,213,99.19,65.15,verde,maduro
2026-03-26T17:05:55,A26,D03,A26_D03,212,96.84,65.56,verde,maduro
2026-03-26T17:09:42,A27,D03,A27_D03,224,99.83,65.92,maduro,maduro
2026-03-26T17:13:36,A28,D03,A28_D03,194,86.74,66.58,verde,maduro
2026-03-26T17:17:12,A29,D03,A29_D03,254,96.39,71.21,verde,maduro
2026-03-26T17:20:55,A30,D03,A30_D03,233,101.57,65.85,maduro,maduro
2026-03-26T17:24:46,A31,D03,A31_D03,214,94.64,68.3,maduro,maduro
2026-03-26T17:28:58,A32,D03,A32_D03,221,103.63,65.15,maduro,maduro
2026-03-26T17:38:02,A33,D03,A33_D03,215,94.66,66.74,verde,maduro
2026-03-26T17:42:00,A34,D03,A34_D03,200,94.52,64.68,maduro,maduro
2026-03-26T17:46:08,A35,D03,A35_D03,163,94.11,59.41,maduro,maduro
2026-03-26T17:49:29,A36,D03,A36_D03,194,101.41,62.77,maduro,maduro
2026-03-26T17:54:59,A37,D03,A37_D03,210,99.77,63.93,maduro,maduro
2026-03-26T17:59:48,A38,D03,A38_D03,226,102.97,67.19,maduro,maduro
2026-03-26T18:03:14,A39,D03,A39_D03,216,93.94,67.05,maduro,maduro
2026-03-26T18:07:53,A40,D03,A40_D03,208,92.94,65.83,maduro,maduro
2026-03-26T18:12:44,A41,D03,A41_D03,212,108.5,64.34,maduro,maduro
2026-03-26T18:16:31,A42,D03,A42_D03,212,101.21,64.93,maduro,maduro
2026-03-26T18:20:09,A43,D03,A43_D03,196,99.27,63.31,maduro,maduro
2026-03-26T18:23:40,A44,D03,A44_D03,214,87.82,70.71,maduro,maduro
2026-03-26T18:27:05,A45,D03,A45_D03,207,104.12,63.17,maduro,maduro
2026-03-26T18:30:30,A46,D03,A46_D03,236,97.94,69.48,maduro,maduro
2026-03-26T18:33:57,A47,D03,A47_D03,219,99.12,66.21,maduro,maduro
2026-03-26T18:37:54,A48,D03,A48_D03,251,99.94,71.04,verde,maduro
2026-03-26T18:43:50,A49,D03,A49_D03,202,97.91,63.34,maduro,maduro
