SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
5, -0.0002, 0, 0.95739204, 0.39362964, 0.34538168, 1.30793118, 8.20145130, -1.03758442, -6.31394339, 68.83952332, -73.34112549, 3.44467139, 10.03406334, 5.54608297, 0.99467993, -0.02567669, -0.08875850, -0.04554731, -0.10054325, 0.01804035, 0.07030471, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0098, 1, 0.93798339, 0.38986859, 0.34166569, 1.17973018, 7.55338478, 1.26204479, -6.46009922, 69.54106903, -72.96112061, 3.40095401, 9.98752594, 5.49390316, 0.99474514, -0.02535805, -0.08832571, -0.04514191, -0.09205167, 0.01822278, 0.05232700, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0198, 2, 0.94451714, 0.37082732, 0.33531392, 0.78211880, 8.46669197, 2.98890567, -6.72318029, 69.27798462, -71.93802643, 3.33890581, 9.94571781, 5.43178606, 0.99481416, -0.02488542, -0.08792493, -0.04466256, -0.10980208, 0.00874421, 0.04520371, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0298, 3, 0.95379698, 0.36057305, 0.34103340, 0.50188422, 6.95084476, 4.37595558, -6.46009922, 69.62876129, -72.93189240, 3.27487373, 9.92425251, 5.37241983, 0.99486697, -0.02438427, -0.08770104, -0.04420239, -0.11828808, -0.00168999, 0.05029226, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0398, 4, 0.94930702, 0.35635033, 0.34272620, 0.45772803, 5.03591967, 5.78554058, -6.46009922, 69.62876129, -72.93189240, 3.14843988, 10.98007965, 5.26433897, 0.99410808, -0.02292499, -0.09679149, -0.04307041, -0.11188243, -0.00459624, 0.04676379, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0002, 0, 0.23229936, 1.00133848, -0.21223804, -3.93313932, 9.93247128, 2.92907786, -6.98626137, 59.80707169, 42.47296143, 20.95089531, 25.90785789, 1.58030832, 0.95877874, -0.17413038, -0.22285372, 0.02753752, -0.09969361, 0.04319255, -0.01500277, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0498, 5, 0.92322803, 0.35824198, 0.34351787, 0.90344620, 3.86589527, 7.53964043, -6.48933077, 69.86260986, -72.96112061, 3.08230209, 11.00265694, 5.20137167, 0.99412608, -0.02239499, -0.09695016, -0.04257387, -0.07889351, -0.00160737, 0.03140184, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0598, 6, 0.91050398, 0.35240972, 0.33548659, 1.68275166, 4.40102768, 8.75177574, -6.66471767, 67.72873688, -72.58111572, 3.00940275, 11.02966022, 5.12394285, 0.99414635, -0.02181696, -0.09714253, -0.04195663, -0.07700107, 0.00033546, 0.01536734, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0102, 1, 0.22955284, 1.00228024, -0.21288012, -3.22191453, 9.81470585, 5.69895315, -6.69394922, 60.30400467, 42.47296143, 20.91250801, 25.98567390, 1.48184586, 0.95866466, -0.17396453, -0.22336386, 0.02840876, -0.09631549, 0.04481246, -0.01307643, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0698, 7, 0.91790330, 0.35797191, 0.32512400, 2.73819971, 4.17107344, 10.01226330, -6.37240553, 69.86260986, -72.61034393, 2.93523097, 11.06713676, 5.03351927, 0.99416208, -0.02123501, -0.09742370, -0.04122528, -0.08465310, 0.01256074, 0.01786687, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0202, 2, 0.22418438, 1.00081956, -0.21136717, -1.97276676, 9.59982586, 8.74152756, -6.37240553, 60.24554062, 42.56065369, 21.40347672, 26.89289474, 1.64572155, 0.95619327, -0.17730598, -0.23106202, 0.02945217, -0.08622995, 0.04244865, -0.00973333, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0798, 8, 0.92243403, 0.36342666, 0.32278726, 3.87305522, 1.75114012, 11.11438465, -6.48933077, 68.72259521, -72.11341858, 2.87358689, 11.13024139, 4.94092178, 0.99415386, -0.02075395, -0.09793212, -0.04045830, -0.08557026, 0.01938804, 0.02248336, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0302, 3, 0.22673330, 1.00999737, -0.20795934, -0.24166726, 9.02003384, 11.70469666, -6.37240553, 60.24554062, 42.56065369, 21.40735054, 27.02473259, 1.58077478, 0.95590985, -0.17740427, -0.23205903, 0.03021332, -0.08052242, 0.03704213, 0.00585716, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0898, 9, 0.91461802, 0.36315241, 0.32560191, 4.97119570, -0.61272663, 12.04304981, -6.48933077, 68.72259521, -72.11341858, 3.01140046, 11.92135048, 4.90405893, 0.99345642, -0.02166910, -0.10483301, -0.03981072, -0.07443624, 0.01751908, 0.01899365, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0402, 4, 0.22191913, 1.00888968, -0.20565474, 1.39712214, 7.79243231, 14.36410713, -6.05086231, 59.36860657, 41.97602844, 21.43531227, 27.17807961, 1.54093063, 0.95555115, -0.17764273, -0.23326728, 0.03084838, -0.07346833, 0.03474111, 0.00794481, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0998, 10, 0.90897447, 0.37021855, 0.33238178, 6.30822182, -2.23338199, 12.56575966, -6.13855600, 69.42414093, -73.04881287, 2.97445226, 12.02473927, 4.80544329, 0.99340421, -0.02139893, -0.10569786, -0.03896233, -0.05276393, 0.01696157, 0.02379702, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.1098, 11, 0.91197878, 0.36892682, 0.33429018, 7.46021223, -3.24730015, 13.14034176, -7.10318613, 69.36568451, -72.87342834, 2.94539785, 12.13986397, 4.70024395, 0.99334049, -0.02120041, -0.10666634, -0.03804713, -0.05247433, 0.01530159, 0.02679109, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0502, 5, 0.21494630, 1.01873910, -0.20280743, 3.10387850, 6.49299288, 16.32283974, -6.51856184, 60.42092896, 42.67757797, 21.48723030, 27.34589005, 1.52553070, 0.95513082, -0.17802401, -0.23462655, 0.03135225, -0.06773655, 0.03331319, 0.02130638, 0.00000000, 0.00000000, 0.00000000, 0.00000000
