SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, 0.0001, 0, 0.42455220, -0.35254675, 0.15045771, -74.87728119, -62.48451614, 273.14822388, 49.31306458, 7.95089149, 69.19029236, -58.30942535, 24.25748825, -107.92479706, 0.58508277, 0.13183650, -0.49309671, 0.63020068, 0.07926047, 0.38872784, -0.22307183, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0101, 1, 0.40150490, -0.37833387, 0.12225029, -66.06179810, -64.10990143, 279.95516968, 48.40689850, 5.46623802, 67.75796509, -61.02893066, 23.15725708, -110.14747620, 0.56674850, 0.14301524, -0.50682890, 0.63361442, 0.06730926, 0.39842182, -0.22933115, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0001, 0, 0.16044785, 0.10073217, -0.03081666, 32.28058243, -27.81294060, 79.61260223, -63.49020767, 16.36948204, -79.27506256, 8.64780426, 6.32810259, 14.62722206, 1.00000000, 0.00000000, 0.00000000, 0.00000000, -0.02970577, -0.13360250, -0.84816968, 101.53000641, -17.05120659, 34.75000000, 0.00000000
4, 0.0301, 1, 0.02318017, 0.17030001, 0.07370382, 24.66051483, -23.07297707, 102.84387970, -62.40865326, 16.39871407, -79.47968292, 3.91530108, 14.51218510, 8.01098728, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.25363347, -0.16553336, -0.81105739, 101.53000641, -17.05120659, 34.75000000, 0.00000000
4, 0.0401, 2, 0.01503982, 0.31037757, 0.08951120, 17.31561089, -9.16765976, 116.97089386, -62.40865326, 16.39871407, -79.47968292, 4.23349714, 15.62802982, 8.35274982, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.30725956, -0.21096756, -0.67529964, 101.53000641, -17.05120659, 34.75000000, 0.00000000
5, -0.0000, 0, 0.33141524, -0.56922901, -1.07473671, 83.58467102, -77.75299835, 58.13649750, 4.91084480, 27.68196487, -125.37269592, 40.32401276, -23.13442993, -19.09920502, 0.91837835, -0.30176842, 0.24164236, 0.08441655, 0.14730512, 0.00041730, 0.26858807, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0100, 1, 0.27080759, -0.71686828, -1.11791742, 73.15682983, -77.84585571, 48.76788712, 4.85238218, 25.75270271, -125.54808044, 41.46955109, -23.59791756, -19.79514694, 0.91428733, -0.30853322, 0.24795741, 0.08604103, 0.21091343, 0.13633993, 0.26759225, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0200, 2, 0.24690895, -0.78222513, -1.17908931, 62.37470627, -81.61932373, 49.74408722, 4.85238218, 25.75270271, -125.54808044, 42.54161072, -24.13394547, -20.46171951, 0.91026640, -0.31451800, 0.25472641, 0.08722345, 0.26255584, 0.19224098, 0.30601528, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0300, 3, 0.29595259, -0.85600698, -1.26150453, 53.84967422, -84.11992645, 55.85702515, 4.20929527, 26.42502213, -126.01578522, 43.58364105, -24.74714088, -21.07631683, 0.90622151, -0.32010579, 0.26193392, 0.08766773, 0.27769196, 0.25812191, 0.41189864, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0201, 2, 0.32233793, -0.48483720, 0.18066593, -60.24865341, -55.17872620, 283.03881836, 48.37766647, 3.33235884, 67.69950104, -64.91759491, 21.46162224, -112.64092255, 0.54288888, 0.16168013, -0.52592349, 0.63445705, 0.13249655, 0.31273279, -0.19831660, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0301, 3, 0.28647456, -0.57533598, 0.12075621, -58.12160873, -46.39380646, 275.25451660, 48.37766647, 3.33235884, 67.69950104, -67.32935333, 20.03894234, -114.50528717, 0.52446812, 0.17349407, -0.53744769, 0.63716793, 0.09972617, 0.27024847, -0.23726842, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0401, 4, 0.37704793, -0.70964569, 0.08540183, -54.72648621, -44.47467422, 266.27450562, 47.55919266, -0.40923706, 67.14411163, -69.58139801, 18.58642960, -116.23059845, 0.50633454, 0.18482232, -0.54817915, 0.63950431, -0.03307345, 0.16833594, -0.21690688, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.0501, 3, 0.03042284, 0.46948549, 0.07820201, 10.24547863, 4.11773109, 127.80017853, -61.26863480, 16.86641312, -79.71353149, 4.44337749, 16.87872505, 8.61308670, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.34506115, -0.23097789, -0.51084971, 101.53000641, -17.05120659, 34.75000000, 0.00000000
4, 0.0601, 4, 0.05187781, 0.64569503, 0.05922423, 4.68883944, 19.19741631, 136.60556030, -60.39169693, 17.24641991, -79.47968292, 0.76095700, 13.52315044, 1.64407837, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.36281818, -0.22887313, -0.33277944, 101.53000641, -17.05120659, 34.75000000, 0.00000000
4, 0.0701, 5, 0.09829577, 0.80610996, 0.02569592, 0.81645411, 34.81155396, 142.36576843, -58.60859299, 17.10026360, -79.65506744, 0.72864163, 14.98661804, 1.56324947, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.31572521, -0.17670164, -0.17536438, 101.53000641, -17.05120659, 34.75000000, 0.00000000
2, 0.0501, 5, 0.27204984, -0.84042901, 0.17009142, -57.89965439, -33.02100372, 260.18673706, 45.71762466, -2.60157847, 66.44255829, -71.73625946, 17.07575226, -117.74154663, 0.48875529, 0.19656175, -0.55818909, 0.64102006, 0.06120226, 0.04318764, -0.18652822, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0601, 6, 0.28477496, -0.90653265, 0.17065012, -60.04144287, -30.44824028, 245.66386414, 45.98070526, -4.61853266, 65.74101257, -73.76024628, 15.62152100, -119.08710480, 0.47199717, 0.20767339, -0.56763369, 0.64178067, 0.01907711, -0.00376017, -0.16129777, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0701, 7, 0.32483456, -0.97632760, 0.22252637, -59.42578888, -32.25162888, 237.01957703, 43.70067215, -5.75855017, 65.71177673, -76.33735657, 13.98086452, -120.54942322, 0.45224446, 0.22105011, -0.58011460, 0.64037406, -0.02370809, -0.06633060, -0.07765554, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0801, 8, 0.31156245, -1.05568337, 0.29597580, -53.29230881, -30.04016685, 231.70129395, 43.70067215, -5.75855017, 65.71177673, -78.12292480, 12.50803280, -121.70211792, 0.43590707, 0.23123601, -0.58827358, 0.64066315, -0.01276506, -0.14311159, 0.00164323, 0.00000000, 0.00000000, 0.00000000, 0.00000000
