SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
5, 0.0000, 0, 1.46168101, 0.42784414, -0.11842889, 7.40259266, -23.47875404, 144.38494873, -1.95849168, 68.72259521, -77.78427124, 12.50913334, 5.32912302, -0.85479534, 0.99290758, -0.10916998, -0.04539879, 0.01247162, -0.13942924, 0.15202565, 0.49279720, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0100, 1, 1.55287302, 0.50610781, -0.15696852, 18.32211494, -49.45771027, 159.76826477, -0.38000584, 67.87489319, -78.42736053, 11.90446663, 6.90050697, -0.91276014, 0.99272472, -0.10398480, -0.05903102, 0.01414856, -0.11109100, 0.24441835, 0.58968800, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0200, 2, 1.57579529, 0.56254661, -0.10672206, 32.56294632, -74.95172119, 175.73425293, 0.81847411, 66.70564270, -78.63198090, 11.41411114, 8.77588272, -1.03481126, 0.99201763, -0.09983421, -0.07523146, 0.01656714, -0.01577164, 0.25396615, 0.63682187, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0300, 3, 1.49388766, 0.56824875, -0.05543375, 46.36719131, -88.48891449, 188.95880127, 2.92312193, 65.82870483, -79.27506256, 10.95734787, 10.86002064, -1.26229131, 0.99080521, -0.09607862, -0.09314474, 0.01995006, 0.08072902, 0.22828904, 0.57468861, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0400, 4, 1.38824427, 0.50727689, -0.06115248, 55.72713470, -94.06316376, 198.95956421, 3.62467122, 62.99327469, -80.59046936, 11.24230099, 11.53037453, -1.12943733, 0.99001247, -0.09843537, -0.09900334, 0.01959783, 0.09704322, 0.19788191, 0.46380904, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0500, 5, 1.37378228, 0.43107569, -0.05830080, 59.51558304, -95.57923126, 212.05480957, 5.55393171, 63.72405624, -81.05816650, 10.69288445, 13.85928440, -1.48105931, 0.98814857, -0.09404179, -0.11892001, 0.02401507, 0.06839374, 0.14511383, 0.43732983, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, -0.0000, 0, 1.10022855, 1.25812340, 0.28973049, -54.21916199, -125.77160645, 320.05078125, 24.08652496, 56.27009583, 71.29494476, -28.28906631, 42.04684830, -18.98324776, 0.90719950, 0.16761383, -0.38072532, 0.06279275, -0.07291792, 0.49502036, 0.85588068, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0100, 1, 0.92361116, 1.15619195, 0.22282834, -62.33094788, -135.99279785, 319.44100952, 27.12657166, 54.54545212, 70.94416809, -30.13052177, 45.25596237, -20.86311531, 0.89467376, 0.16867766, -0.40882039, 0.06302932, 0.10789608, 0.52625072, 0.73950350, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0200, 2, 0.77143449, 1.02095795, 0.27269953, -76.13310242, -116.79707336, 317.19436646, 29.96199989, 52.67465591, 70.97339630, -32.49771881, 48.27210236, -23.11855316, 0.88128185, 0.17150506, -0.43577597, 0.06346428, 0.26370832, 0.43717161, 0.63917857, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0300, 3, 0.74920678, 1.00185978, -0.00757506, -62.70436096, -93.04205322, 330.80471802, 29.96199989, 52.67465591, 70.97339630, -22.80839920, 44.55491638, -15.14805031, 0.90905529, 0.13239363, -0.39248213, 0.04525712, 0.27042240, 0.67923927, 0.53893405, 0.00000000, 0.00000000, 0.00000000, 0.00000000
