SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
5, -0.0001, 0, -1.82048702, 0.53763103, -1.19357824, -89.67713165, -122.05654907, 92.62069702, -49.78076553, 72.93189240, -102.33849335, -53.99176407, -40.56080246, 6.80827808, 0.84366930, 0.40669617, 0.33358487, 0.10743131, 0.43717462, -0.31340277, 1.27525675, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0099, 1, -1.95826602, 0.65181911, -1.38944185, -69.74993896, -96.25900269, 73.33518982, -50.16077042, 74.33499146, -101.28617096, -55.55677795, -41.28200531, 8.01363373, 0.83741820, 0.41327661, 0.34159958, 0.10603338, 0.47106814, -0.48360956, 1.49232411, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0199, 2, -2.06827331, 0.70493674, -1.67225873, -43.91829681, -71.17308044, 44.38829041, -49.51768494, 74.65653229, -100.70154572, -56.57947159, -41.81299210, 8.86146641, 0.83319646, 0.41713065, 0.34748662, 0.10506549, 0.43074441, -0.62995827, 1.77704501, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0299, 3, -2.12242007, 0.66687429, -1.89394999, -14.66345596, -53.59001160, 11.41582966, -49.02075195, 75.50423431, -100.02922821, -56.99833679, -42.23223877, 9.36353111, 0.83110809, 0.41777980, 0.35187823, 0.10440841, 0.35756627, -0.67269224, 2.00383234, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, -0.0000, 0, -1.30422246, 0.66029334, -0.61245108, -134.81825256, -95.71394348, 156.44305420, -10.40631390, 57.61473083, 35.42823792, -64.10514832, -37.92463684, 22.13787270, 0.81976324, 0.43968433, 0.36664760, 0.01534723, 0.28764886, -0.12980503, 0.64470798, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0399, 4, -2.14871860, 0.54502153, -1.91073394, 8.53431129, -41.02209091, -21.58154106, -49.45922089, 75.76731873, -100.11692047, -49.68574142, -39.33769608, 6.93172646, 0.86150211, 0.37642956, 0.32879496, 0.08949167, 0.35546175, -0.57469177, 2.04659462, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0100, 1, -1.50437295, 0.66280007, -0.84613317, -119.01458740, -90.78493500, 147.99400330, -9.14937115, 58.49166870, 36.36363602, -66.73770905, -38.28973007, 23.84555435, 0.80920339, 0.45181221, 0.37533116, 0.01350085, 0.32852942, -0.20299852, 0.97204483, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0200, 2, -1.75833893, 0.70340925, -1.16560352, -99.23650360, -89.16569519, 137.76776123, -9.17860222, 60.56708527, 36.91902924, -69.15177917, -38.54391479, 25.53501129, 0.79941165, 0.46239394, 0.38342410, 0.01090719, 0.37894744, -0.34390706, 1.38213992, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0499, 5, -2.21842813, 0.38883415, -1.86536455, 27.45135117, -19.62077522, -52.61383820, -49.45922089, 75.76731873, -100.11692047, -48.97705841, -39.59338379, 6.64242983, 0.86295617, 0.37150228, 0.33029431, 0.09054589, 0.43678269, -0.43948591, 2.01700640, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0300, 3, -2.07900476, 0.76474541, -1.49705398, -75.65081787, -82.78231049, 124.81265259, -9.17860222, 60.56708527, 36.91902924, -62.89431763, -37.31768799, 21.35546112, 0.82521290, 0.43516031, 0.35979983, 0.01426020, 0.48923999, -0.51774424, 1.80069804, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0400, 4, -2.41850281, 0.81252003, -1.61134100, -58.18439865, -69.26804352, 105.22624969, -7.89242887, 61.32709503, 37.47442245, -64.58681488, -37.50630188, 22.67161560, 0.81859285, 0.44260606, 0.36590040, 0.01107273, 0.73411787, -0.61796421, 2.00373411, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0500, 5, -2.62322497, 0.83253336, -1.81775177, -41.20735931, -50.29296112, 82.05665588, -7.10318613, 62.49634552, 38.43905258, -65.87166595, -37.58670044, 23.68236160, 0.81356966, 0.44827831, 0.37024406, 0.00839030, 0.80029356, -0.70257431, 2.29033327, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0600, 6, -2.84629202, 0.78446800, -2.18746829, -27.36872101, -35.31064987, 59.11853790, -7.16164875, 63.16866302, 38.61444092, -66.78016663, -37.61577606, 24.41036224, 0.81000692, 0.45226705, 0.37323374, 0.00632296, 0.78516549, -0.78328657, 2.72930241, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0700, 7, -2.99173284, 0.73978251, -2.34629965, -14.35806561, -32.46915436, 29.42228889, -6.72318029, 62.78865814, 38.55597687, -67.29436493, -37.72523499, 24.91154289, 0.80785400, 0.45393136, 0.37589005, 0.00500835, 0.81451827, -0.79494977, 2.95542455, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0599, 6, -2.24057484, 0.29321876, -1.85989535, 45.48550797, 9.26229095, -80.74002838, -49.72230148, 75.38731384, -99.94153595, -47.77313614, -39.63323975, 5.94970894, 0.86616862, 0.36434805, 0.32932669, 0.09244707, 0.43926698, -0.35819677, 2.04368567, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0699, 7, -2.25510144, 0.28213239, -1.85532880, 66.56593323, 37.51367950, -109.76129913, -50.57000732, 74.24729156, -100.14615631, -46.05796814, -39.43682480, 4.87516212, 0.87117207, 0.35471824, 0.32589087, 0.09502302, 0.45340165, -0.35917091, 2.03491020, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0800, 8, -3.07120109, 0.65070665, -2.26099348, 1.61258531, -24.27801514, -8.23007107, -6.72318029, 62.78865814, 38.55597687, -58.36612320, -36.58411407, 18.67477036, 0.84279621, 0.41236895, 0.34550506, 0.01651609, 0.90956253, -0.69309807, 2.93330169, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0900, 9, -3.00244546, 0.58873791, -2.26288223, 26.54376030, -6.90811539, -46.88455582, -7.04472351, 62.75942612, 38.70213318, -57.73067093, -36.73295975, 18.40954781, 0.84477603, 0.40812042, 0.34568116, 0.01720056, 0.85078824, -0.67321497, 2.82369828, 0.00000000, 0.00000000, 0.00000000, 0.00000000
