SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
5, 0.0001, 0, 0.89034736, 0.51141822, -1.06617510, 128.28652954, 31.54345894, 38.05466080, -1.98772287, 72.52265167, -98.68459320, 13.24313068, 8.89379120, -13.48261642, 0.98244274, -0.12320992, -0.06299014, 0.12513149, -0.16165935, 0.26161110, 0.40355960, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0101, 1, 0.90015721, 0.51905704, -1.08573806, 132.06072998, 10.15237713, 42.50920868, -0.93539900, 72.31803131, -99.53230286, 14.46258259, 9.36872005, -13.79886818, 0.98033768, -0.13427837, -0.06535970, 0.12897877, -0.14189172, 0.23646502, 0.43562001, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, -0.0001, 0, -0.72689027, 0.80862802, -1.08969629, -22.26728058, 85.95589447, 37.33471298, -29.43583679, 34.96053696, 48.14381790, 11.93740940, 15.20705795, -3.30694962, 0.98502648, -0.10682525, -0.12857124, 0.04219913, -0.32200423, 0.22134219, 0.41737169, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0201, 2, 0.86305147, 0.51984286, -1.10394549, 136.75614929, -15.65728569, 45.61989212, -0.38000584, 72.43495941, -100.43846893, 15.84191418, 9.66473389, -13.97663689, 0.97819412, -0.14644834, -0.06611021, 0.13160050, -0.09693860, 0.22787435, 0.43678623, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0099, 1, -0.76006603, 0.85285664, -1.08894396, -25.48317528, 94.12534332, 42.11467361, -28.82198143, 35.16515732, 47.88073730, 12.10540771, 16.18453598, -3.64443779, 0.98355371, -0.10879170, -0.13659254, 0.04614170, -0.31414753, 0.19329008, 0.47022393, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0301, 3, 0.80403900, 0.54095685, -1.13510299, 141.02427673, -29.55245972, 49.23030853, -0.38000584, 72.43495941, -100.43846893, 17.33046150, 9.87628746, -14.07295895, 0.97590935, -0.15939571, -0.06606905, 0.13352467, -0.02375467, 0.21363537, 0.45008719, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0401, 4, 0.74761850, 0.54920638, -1.14635611, 145.95610046, -33.66678238, 52.64478302, -0.32154340, 70.85647583, -101.46156311, 18.89200211, 10.08120918, -14.13943100, 0.97338039, -0.17290743, -0.06589038, 0.13524860, 0.03618153, 0.19165792, 0.44521829, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0501, 5, 0.72017658, 0.55036926, -1.14126146, 151.81828308, -29.43020248, 56.03614807, 0.84770536, 69.45337677, -102.77696228, 20.31220818, 9.14396477, -12.49242210, 0.97384477, -0.18326287, -0.05887276, 0.12072765, 0.05846491, 0.16190214, 0.43910921, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0199, 2, -0.78971779, 0.89897573, -1.06749952, -27.10951996, 102.58818817, 46.18185043, -28.82198143, 35.16515732, 47.88073730, 12.28742599, 17.25186539, -4.00392771, 0.98184949, -0.11095683, -0.14533395, 0.05038198, -0.29872108, 0.14731824, 0.51464838, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0299, 3, -0.80214185, 0.95099789, -1.07197750, -23.12915611, 111.99676514, 51.12604141, -28.67582512, 34.96053696, 47.09149170, 12.49057579, 19.10038757, -4.80266142, 0.97867119, -0.11409344, -0.16028726, 0.05910579, -0.30516937, 0.11892965, 0.55939281, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0399, 4, -0.82642025, 0.94954395, -1.08094430, -16.56861305, 119.50318909, 57.61046982, -28.38351250, 36.36363602, 46.00993729, 12.80574799, 20.34815979, -5.07380438, 0.97630548, -0.11742738, -0.17050704, 0.06297435, -0.26494661, 0.12503250, 0.59157932, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0499, 5, -0.82972997, 0.92098284, -1.10235620, -12.37281132, 131.05514526, 65.42642975, -27.91581345, 36.71440887, 44.95761490, 13.19406986, 21.72400475, -5.30399370, 0.97353476, -0.12136807, -0.18177542, 0.06676605, -0.23263994, 0.15504839, 0.59679449, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0601, 6, 0.73817962, 0.56819248, -1.11691225, 158.43608093, -21.43214607, 59.71786880, 0.58462435, 70.21338654, -103.68313599, 21.96005630, 9.51192570, -12.59039021, 0.97068286, -0.19759136, -0.06009033, 0.12296971, 0.03133285, 0.10721754, 0.45235288, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0599, 6, -0.80668962, 0.92711616, -1.13811886, -12.62848949, 137.28259277, 72.63340759, -27.97427559, 37.44519043, 43.43759155, 13.59180832, 23.19527054, -5.51039791, 0.97043312, -0.12537874, -0.19382221, 0.07051837, -0.24379930, 0.17656608, 0.60481155, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0699, 7, -0.81961256, 0.90431792, -1.18250608, -13.68930817, 141.93421936, 80.51211548, -27.97427559, 37.44519043, 43.43759155, 13.98354340, 24.75725746, -5.68818426, 0.96699989, -0.12930809, -0.20661525, 0.07416700, -0.21708080, 0.22229652, 0.63117743, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0799, 8, -0.83630228, 0.91734767, -1.18442369, -18.10424995, 144.93109131, 87.42874146, -27.30195808, 38.20520401, 42.76527405, 14.54910374, 25.41638374, -5.04614305, 0.96548682, -0.13300854, -0.21256572, 0.07042605, -0.19452509, 0.21225697, 0.66290325, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0899, 9, -0.87312162, 0.92687476, -1.16891968, -24.06457138, 145.44871521, 94.05316162, -26.62964058, 39.34521866, 41.15755463, 14.83393955, 27.12038040, -5.21865559, 0.96161300, -0.13594560, -0.22655077, 0.07412200, -0.15630466, 0.18874110, 0.70019615, 0.00000000, 0.00000000, 0.00000000, 0.00000000
